N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"70,200",500,-0.71%,100,"4,190,787","5,969,783",51.23,"9,554,816",13.61,9.99,
2,SK하이닉스,"110,000",500,-0.45%,"5,000","800,803","728,002",47.87,"1,924,351",13.76,9.53,
3,NAVER,"407,000","6,000",+1.50%,100,"668,552","164,263",56.82,"695,005",4.03,15.22,
4,삼성바이오로직스,"841,000","9,000",-1.06%,"2,500","556,448","66,165",10.60,"39,267",135.56,N/A,
5,카카오,"124,500",500,-0.40%,100,"554,894","445,698",30.77,"1,476,082",116.03,2.70,
6,LG화학,"776,000","7,000",+0.91%,"5,000","547,797","70,592",47.44,"142,357",20.90,2.93,
7,삼성전자우,"65,500",500,-0.76%,100,"538,991","822,887",74.41,"629,864",12.70,N/A,
8,삼성SDI,"763,000","1,000",+0.13%,"5,000","524,673","68,765",45.90,"143,084",47.85,4.54,
9,현대차,"205,000","2,000",-0.97%,"5,000","438,020","213,668",28.89,"524,372",14.85,2.04,
10,기아,"83,100",900,-1.07%,"5,000","336,857","405,363",35.43,"1,471,212",9.70,5.05,
11,카카오뱅크,"64,500","1,400",+2.22%,"5,000","306,440","475,100",5.22,"1,538,227",208.74,5.08,
12,셀트리온,"215,000","4,000",-1.83%,"1,000","296,586","137,947",20.35,"533,708",53.66,16.68,
13,크래프톤,"543,000","24,000",-4.23%,100,"265,834","48,957",7.53,"516,494",46.75,61.86,
14,POSCO,"274,000","2,000",-0.72%,"5,000","238,892","87,187",53.14,"269,949",6.20,3.61,
15,KB금융,"55,800",100,-0.18%,"5,000","232,021","415,808",69.05,"845,329",5.50,8.53,
16,카카오페이,"172,500","1,500",+0.88%,500,"224,883","130,367",45.26,"272,985",-858.21,-17.97,
17,현대모비스,"236,500","4,500",-1.87%,"5,000","224,186","94,793",34.56,"240,847",10.15,4.66,
18,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
19,삼성물산,"111,000","1,000",-0.89%,100,"207,445","186,887",14.97,"224,631",12.63,3.81,
20,SK이노베이션,"218,500","4,000",-1.80%,"5,000","202,037","92,466",24.83,"274,972",-45.27,-13.58,
21,LG전자,"122,500",500,-0.41%,"5,000","200,469","163,648",30.24,"476,704",14.82,13.23,
22,신한지주,"37,150",300,-0.80%,"5,000","191,917","516,600",60.35,"1,085,154",4.81,8.20,
23,LG생활건강,"1,181,000","17,000",-1.42%,"5,000","184,451","15,618",44.33,"29,996",24.80,17.92,
24,SK바이오사이언스,"236,000","1,000",+0.43%,500,"180,540","76,500",5.91,"429,533",90.87,13.25,
25,SK,"246,500","8,000",-3.14%,200,"173,438","70,360",19.13,"198,858",15.91,1.11,
26,엔씨소프트,"760,000","35,000",+4.83%,500,"166,851","21,954",45.01,"683,962",40.79,20.83,
27,하이브,"412,500","1,500",-0.36%,500,"161,085","39,051",16.59,"378,307",146.74,12.52,
28,한국전력,"22,300",100,-0.45%,"5,000","143,158","641,964",14.69,"1,010,469",12.01,2.91,
29,LG,"84,600","3,500",-3.97%,"5,000","133,077","157,301",33.78,"274,810",5.30,7.50,
30,삼성생명,"64,900","1,000",-1.52%,500,"129,800","200,000",12.39,"287,862",7.41,3.53,
31,두산중공업,"24,450",950,-3.74%,"5,000","126,824","518,707",7.84,"9,826,103",70.06,-37.20,
32,하나금융지주,"42,150",550,-1.29%,"5,000","126,552","300,242",67.64,"832,433",4.16,8.96,
33,HMM,"25,850",0,0.00%,"5,000","126,417","489,039",9.08,"4,753,317",3.26,8.93,
34,삼성전기,"165,500","2,000",-1.19%,"5,000","123,618","74,694",30.71,"425,601",14.43,10.92,
35,삼성에스디에스,"152,500","2,500",-1.61%,500,"118,001","77,378",11.43,"89,248",18.31,6.71,
36,SK아이이테크놀로지,"164,500","3,000",-1.79%,"1,000","117,285","71,298",11.80,"752,010",108.15,11.00,
37,KT&G,"84,100",200,-0.24%,"5,000","115,463","137,292",36.63,"515,165",10.43,13.22,
38,넷마블,"134,000","2,000",+1.52%,100,"115,178","85,954",23.16,"336,569",40.25,6.35,
39,포스코케미칼,"143,500",500,+0.35%,500,"111,160","77,463",7.23,"245,505",103.68,2.96,
40,삼성화재,"218,500","1,500",-0.68%,500,"103,514","47,375",48.82,"102,484",10.35,4.96,
41,아모레퍼시픽,"175,500","6,500",-3.57%,500,"102,655","58,493",31.79,"197,657",81.44,0.78,
42,대한항공,"29,400",450,-1.51%,"5,000","102,259","347,821",11.72,"1,891,889",13.81,-7.22,
43,S-Oil,"88,400","2,000",-2.21%,"2,500","99,523","112,583",78.35,"394,784",11.37,-13.07,
44,우리금융지주,"13,500",100,+0.75%,"5,000","98,288","728,061",29.44,"1,549,854",4.72,5.87,
45,현대중공업,"106,000","2,500",-2.30%,"5,000","94,100","88,773",1.74,"174,382",-9.58,-7.86,
46,고려아연,"490,000","3,500",-0.71%,"5,000","92,463","18,870",18.40,"35,071",12.78,8.37,
47,기업은행,"11,150",100,+0.90%,"5,000","82,990","744,301",13.01,"792,369",4.68,6.44,
48,LG디스플레이,"22,700","1,000",+4.61%,"5,000","81,224","357,816",15.84,"7,886,621",6.83,-0.79,
49,KT,"30,800",200,+0.65%,"5,000","80,422","261,112",43.89,"412,692",8.79,4.76,
50,SK바이오팜,"99,600","1,900",-1.87%,500,"78,000","78,313",6.05,"141,096",-193.02,-135.18,
